age,economic_status,dist_group,main_mode,share
,low,1000 - 2000,bike,0.04374219249768535
,low,1000 - 2000,car,0.04148153371375931
,low,1000 - 2000,pt,0.017184608995473402
,low,1000 - 2000,ride,0.017604965314890957
,low,1000 - 2000,walk,0.030594106022447685
,low,2000 - 5000,bike,0.041654086346084994
,low,2000 - 5000,car,0.05585328785048762
,low,2000 - 5000,pt,0.08336121015216906
,low,2000 - 5000,ride,0.013206561823844333
,low,2000 - 5000,walk,0.027992956094515044
,low,5000 - 10000,bike,0.003691312594380248
,low,5000 - 10000,car,0.06342755545073045
,low,5000 - 10000,pt,0.07366094243640008
,low,5000 - 10000,ride,0.05123197217598969
,low,5000 - 10000,walk,0.0049062199601366836
,low,10000 - 20000,bike,0.002116870521413178
,low,10000 - 20000,car,0.06255928705273828
,low,10000 - 20000,pt,0.06422014118825116
,low,10000 - 20000,ride,0.009994564505313304
,low,10000 - 20000,walk,0.003252319137945369
,low,20000+,bike,0.0
,low,20000+,car,0.01614190784936223
,low,20000+,pt,0.0233741285155581
,low,20000+,ride,0.00228154566218973
,low,20000+,walk,0.0
,medium,0 - 1000,bike,0.051519579453441405
,medium,0 - 1000,car,0.01842659087074659
,medium,0 - 1000,pt,0.004426502622418108
,medium,0 - 1000,ride,0.006513583997935547
,medium,0 - 1000,walk,0.16528284859928988
,medium,1000 - 2000,bike,0.04817586041700598
,medium,1000 - 2000,car,0.04445787488557701
,medium,1000 - 2000,pt,0.011707376079969238
,medium,1000 - 2000,ride,0.017359238723637812
,medium,1000 - 2000,walk,0.03675990193874273
,medium,2000 - 5000,bike,0.062404360731196755
,medium,2000 - 5000,car,0.07494301187497308
,medium,2000 - 5000,pt,0.045841435740943945
,medium,2000 - 5000,ride,0.03668791070341411
,medium,2000 - 5000,walk,0.022329857468455172
,medium,5000 - 10000,bike,0.024251849924482698
,medium,5000 - 10000,car,0.06023904669014144
,medium,5000 - 10000,pt,0.06263931698875305
,medium,5000 - 10000,ride,0.016217349951373996
,medium,5000 - 10000,walk,0.004387329388938976
,medium,10000 - 20000,bike,0.011368415468561979
,medium,10000 - 20000,car,0.054025800996150834
,medium,10000 - 20000,pt,0.02972047562106171
,medium,10000 - 20000,ride,0.011813119525672083
,medium,10000 - 20000,walk,0.0005417581151072869
,medium,20000+,bike,0.0005689528741193477
,medium,20000+,car,0.04090592352650554
,medium,20000+,pt,0.026042515409645667
,medium,20000+,ride,0.010442211411738003
,medium,20000+,walk,0.0
,high,0 - 1000,bike,0.04680335398644406
,high,0 - 1000,car,0.01946849616924271
,high,0 - 1000,pt,0.004623696804053644
,high,0 - 1000,ride,0.011298459991021526
,high,0 - 1000,walk,0.16765259468297986
,high,1000 - 2000,bike,0.05158700866916499
,high,1000 - 2000,car,0.03561257367891908
,high,1000 - 2000,pt,0.014888257849461843
,high,1000 - 2000,ride,0.00968380783739438
,high,1000 - 2000,walk,0.03808258352739611
,high,2000 - 5000,bike,0.043003317304213404
,high,2000 - 5000,car,0.09296126093215883
,high,2000 - 5000,pt,0.03507874401376319
,high,2000 - 5000,ride,0.03013621138788521
,high,2000 - 5000,walk,0.016609783319769457
,high,5000 - 10000,bike,0.02864795842377228
,high,5000 - 10000,car,0.06927073417740864
,high,5000 - 10000,pt,0.04181105737286681
,high,5000 - 10000,ride,0.01776753989740497
,high,5000 - 10000,walk,0.006707435225010032
,high,10000 - 20000,bike,0.008331146095932314
,high,10000 - 20000,car,0.07924158670194745
,high,10000 - 20000,pt,0.026669531640264418
,high,10000 - 20000,ride,0.02076419813599252
,high,10000 - 20000,walk,0.0005534033521928319
,high,20000+,bike,0.002299755845233722
,high,20000+,car,0.05434659571581166
,high,20000+,pt,0.018712071622065223
,high,20000+,ride,0.007386835640228772
,high,20000+,walk,0.0
,very_high,0 - 1000,bike,0.06525464912961348
,very_high,0 - 1000,car,0.027059500125102706
,very_high,0 - 1000,pt,0.000985465160282496
,very_high,0 - 1000,ride,0.01796903125243863
,very_high,0 - 1000,walk,0.1386731838699207
,very_high,1000 - 2000,bike,0.09842862652824044
,very_high,1000 - 2000,car,0.025076301446885028
,very_high,1000 - 2000,pt,0.004811606102256444
,very_high,1000 - 2000,ride,0.021247038173449268
,very_high,1000 - 2000,walk,0.03867095831947964
,very_high,2000 - 5000,bike,0.019393777942949372
,very_high,2000 - 5000,car,0.0952150325477021
,very_high,2000 - 5000,pt,0.018681323932251824
,very_high,2000 - 5000,ride,0.036669185480288635
,very_high,2000 - 5000,walk,0.0313270689832251
,very_high,5000 - 10000,bike,0.04860700396103858
,very_high,5000 - 10000,car,0.06154533703733425
,very_high,5000 - 10000,pt,0.06440007627435952
,very_high,5000 - 10000,ride,0.03697235731767488
,very_high,5000 - 10000,walk,0.00208579052633336
,very_high,10000 - 20000,bike,0.0018367321008117819
,very_high,10000 - 20000,car,0.07357721990769042
,very_high,10000 - 20000,pt,0.006485750263886681
,very_high,10000 - 20000,ride,0.003420008697697791
,very_high,10000 - 20000,walk,0.0
,very_high,20000+,bike,0.0
,very_high,20000+,car,0.03253980242715285
,very_high,20000+,pt,0.017387213658741726
,very_high,20000+,ride,0.011679958833192408
,very_high,20000+,walk,0.0
