dist,walk,ride,bike,car,pt
3900,0.07462221739537939,0.13977807096039122,0.1758326525553779,0.4127298809679684,0.1970371781208831
4000,0.07022293008417128,0.13801062041776455,0.1743236147092986,0.40351692213088325,0.21392591265788233
4100,0.06879585819574814,0.13439247898119006,0.1758464841223152,0.38264645996441327,0.23831871873633334
4200,0.062137742100089856,0.14391241847962696,0.1649009672293694,0.3738997182159814,0.25514915397493243
4300,0.050219370180480956,0.1608454386008804,0.14900529694881595,0.373515206999382,0.26641468727044065
4400,0.040348483314512615,0.17113786006212778,0.15365400099078547,0.37119588490173344,0.2636637707308407
4500,0.03627270421316412,0.17158543214082517,0.17261518058948425,0.37144174161078164,0.2480849414457449
4600,0.03910363849816871,0.16460434748956626,0.19809662189834276,0.36235812527290334,0.23583726684101894
4700,0.04279724279668598,0.15886137574791523,0.2181698699953094,0.35498536753977145,0.2251861439203179
4800,0.04559150994833656,0.1580692823071705,0.23266024293417714,0.35723255759901795,0.20644640721129795
4900,0.04802855738518248,0.15601531759272047,0.2489827914119208,0.35781937578108514,0.18915395782909103
5000,0.05263986688870292,0.14577159245232688,0.2772339775447166,0.34240333279246604,0.18195123032178756
5100,0.05916764887755358,0.1264538685497936,0.3119418121942177,0.3070297868998694,0.19540688347856577
5200,0.06230429737453205,0.10925292286427615,0.32304631055657834,0.27010224114036385,0.23529422806424963
5300,0.06143752172028023,0.10903668795037455,0.29996031827939035,0.26323292962671885,0.266332542423236
5400,0.055371026333171716,0.13129207966922202,0.24632553299170018,0.30171170440493184,0.2652996566009741
5500,0.05139621349194487,0.14961735696303985,0.20695330472756,0.3332272624380337,0.25880586237942155
5600,0.053078561196566745,0.15719036040052736,0.19985551375060723,0.34061749714817013,0.24925806750412863
5700,0.05594807155820636,0.1648531811160096,0.19821779326527247,0.3434320346444337,0.2375489194160777
5800,0.05770518660099292,0.17807395182383862,0.19378782634498481,0.34534182159356164,0.22509121363662202
5900,0.05914851918351075,0.19483770404315737,0.1931256721546754,0.33882601642441906,0.21406208819423747
6000,0.0593218961030042,0.20724768709466293,0.19480648848134446,0.32658759327832526,0.21203633504266312
6100,0.05461648046999702,0.2129167484734896,0.18301934227829306,0.3265323222679121,0.22291510651030816
6200,0.04693832857132423,0.21676281033522332,0.16117910766398194,0.34234548155535904,0.23277427187411143
6300,0.04004938850273856,0.22109279104445909,0.14034417239827607,0.36912730586774706,0.22938634218677928
6400,0.03614842997207061,0.22521045188096825,0.12885963637749234,0.3987707547554506,0.21101072701401813
6500,0.03819530957158402,0.22304383994132837,0.13718214149825222,0.4105576584999012,0.1910210504889341
6600,0.039471251730655785,0.21546737833380214,0.14273137539221117,0.41152080517867023,0.19080918936466063
6700,0.03584930985837126,0.19178581126927102,0.13209972158198344,0.39059962050458624,0.24966553678578815
6800,0.03125633303798566,0.15684484517732655,0.1213993408635831,0.35307643622232066,0.3374230446987839
6900,0.02932016429919954,0.11773508766118092,0.1213608350392459,0.3010999789028454,0.4304839340975282
7000,0.028317644290126377,0.08564004912531513,0.12621162292286006,0.2460966377515337,0.5137340459101646
7100,0.023808053181398336,0.07899979179460545,0.11564993632156048,0.23409765716759487,0.5474445615348408
7200,0.016269287984466866,0.08747830638552531,0.10112663954994291,0.2620032443316523,0.5331225217484127
7300,0.009641019820973203,0.09633711946962796,0.11444485306889791,0.2958073884093078,0.483769619231193
7400,0.006810872068464624,0.09958136220361592,0.14874122053962857,0.3129929030882129,0.4318736421000779
7500,0.007697867528168607,0.10105579338127273,0.19123912295282863,0.32197632178380764,0.3780308943539224
7600,0.009349238921642284,0.10625660769918475,0.22882812937384642,0.33694704968147715,0.31861897432384945
7700,0.01064752910612351,0.1170611704486949,0.2591906761973702,0.36269477590776383,0.2504058483400475
7800,0.011626781274008196,0.12622907106116746,0.28761136987103314,0.3762834505410917,0.19824932725269942
7900,0.012340158195718983,0.12161609057736826,0.3147875823719188,0.352189604169043,0.19906656468595105
8000,0.013057909765482444,0.10591445736839357,0.3460230921842684,0.3159239019864826,0.21908063869537303
8100,0.013358160838548825,0.08391139740351557,0.3707465258684411,0.2838523682463784,0.24813154764311618
